Month,Calls Answered,Svc Level (% answered w/i 60 sec),Avg Speed Answer (sec),Transferred Calls %
12/01/2015 12:00:00 AM,71042,43.7%,138,8.3%
11/01/2015 12:00:00 AM,70038,43.8%,149,8.6%
10/01/2015 12:00:00 AM,73047,32.3%,191,9.1%
09/01/2015 12:00:00 AM,74445,41.1%,124,8.9%
08/01/2015 12:00:00 AM,73027,32.6%,217,9.6%
07/01/2015 12:00:00 AM,77644,33.9%,214,7.8%
06/01/2015 12:00:00 AM,74064,29.1%,217,8.7%
05/01/2015 12:00:00 AM,80836,32.6%,215,8.4%
04/01/2015 12:00:00 AM,84685,38.4%,156,8.7%
03/01/2015 12:00:00 AM,89074,37.3%,153,9%
02/01/2015 12:00:00 AM,83668,33.1%,191,8%
01/01/2015 12:00:00 AM,95264,56.2%,78,8.6%
12/01/2014 12:00:00 AM,98471,66.4%,54,8.4%
11/01/2014 12:00:00 AM,92950,76.2%,33,8.3%
10/01/2014 12:00:00 AM,104600,67.1%,49,9.2%
09/01/2014 12:00:00 AM,96923,67.9%,49,9%
08/01/2014 12:00:00 AM,94395,65.2%,56,7.8%
07/01/2014 12:00:00 AM,94203,53.5%,81,7.6%
06/01/2014 12:00:00 AM,102033,61%,65,7.1%
05/01/2014 12:00:00 AM,107497,50.1%,103,5.9%
04/01/2014 12:00:00 AM,103566,48.3%,107,6.2%
03/01/2014 12:00:00 AM,110136,67.3%,42,6.3%
02/01/2014 12:00:00 AM,100580,61.9%,59,5.5%
01/01/2014 12:00:00 AM,121394,85.6%,16,5.2%
12/01/2013 12:00:00 AM,113750,77.3%,28,5.3%
11/01/2013 12:00:00 AM,113133,77.7%,28,5.4%
10/01/2013 12:00:00 AM,126056,74.2%,31,5.5%
09/01/2013 12:00:00 AM,121604,79.8%,23,5.7%
08/01/2013 12:00:00 AM,121104,75.7%,28,6.1%
07/01/2013 12:00:00 AM,116029,56.4%,67,6%
06/01/2013 12:00:00 AM,117349,67%,42,5.4%
05/01/2013 12:00:00 AM,124333,60.4%,54,5%
04/01/2013 12:00:00 AM,122734,70.2%,40,5%
03/01/2013 12:00:00 AM,125825,81.9%,21,5%
02/01/2013 12:00:00 AM,120020,77.1%,27,4.6%
01/01/2013 12:00:00 AM,131558,81.4%,21,4.6%
12/01/2012 12:00:00 AM,120220,71.8%,36,4.5%
11/01/2012 12:00:00 AM,114922,76.6%,28,5.2%
10/01/2012 12:00:00 AM,122768,61.3%,52,5.5%
09/01/2012 12:00:00 AM,118191,67.1%,42,5.1%
08/01/2012 12:00:00 AM,127378,69.2%,39,5.1%
07/01/2012 12:00:00 AM,136980,75%,30,4.9%
06/01/2012 12:00:00 AM,138571,77.5%,28,4.4%
05/01/2012 12:00:00 AM,148285,73.5%,33,4.1%
04/01/2012 12:00:00 AM,156245,73.8%,29,3.8%
03/01/2012 12:00:00 AM,166171,73%,30,3.5%
02/01/2012 12:00:00 AM,165053,71.8%,31,3.4%
01/01/2012 12:00:00 AM,184228,76.6%,25,3.4%
12/01/2011 12:00:00 AM,181294,80%,21,3.2%
11/01/2011 12:00:00 AM,170315,80.6%,21,3.6%
10/01/2011 12:00:00 AM,181815,70.9%,34,3.9%
09/01/2011 12:00:00 AM,181669,72.2%,32,3.5%
08/01/2011 12:00:00 AM,191730,70.1%,33,3.2%
07/01/2011 12:00:00 AM,185664,67.5%,37,2.9%
06/01/2011 12:00:00 AM,196064,66.4%,38,2.9%
05/01/2011 12:00:00 AM,213989,73.2%,28,2.6%
04/01/2011 12:00:00 AM,218046,79.1%,21,2.6%
03/01/2011 12:00:00 AM,214265,84.3%,16,2.6%
02/01/2011 12:00:00 AM,192744,81.4%,18,2.6%
12/01/2010 12:00:00 AM,185076,83.9%,17,2.7%
11/01/2010 12:00:00 AM,164937,73.1%,31,3.2%
10/01/2010 12:00:00 AM,178612,70%,37,3.2%
09/01/2010 12:00:00 AM,168948,58.6%,54,3.2%
08/01/2010 12:00:00 AM,186327,66.2%,41,3.1%
07/01/2010 12:00:00 AM,187189,72.6%,31,2.9%
06/01/2010 12:00:00 AM,204547,77.6%,26,2.6%
05/01/2010 12:00:00 AM,224528,72.4%,31,2.2%
04/01/2010 12:00:00 AM,217776,83.4%,18,2.2%
03/01/2010 12:00:00 AM,228119,82.9%,18,2.2%
02/01/2010 12:00:00 AM,220417,74.5%,27,1.9%
01/01/2010 12:00:00 AM,249735,83.9%,17,1.6%
12/01/2009 12:00:00 AM,240583,77.4%,25,1.8%
11/01/2009 12:00:00 AM,218179,66.6%,38,1.9%
10/01/2009 12:00:00 AM,225413,53.1%,59,2.2%
09/01/2009 12:00:00 AM,245370,69.1%,34,1.6%
08/01/2009 12:00:00 AM,238607,69.3%,34,1.7%
07/01/2009 12:00:00 AM,232628,71.2%,32,2%
06/01/2009 12:00:00 AM,252511,75.8%,26,1.4%
05/01/2009 12:00:00 AM,275526,81.1%,20,1.2%
04/01/2009 12:00:00 AM,287364,77.6%,22,1.2%
03/01/2009 12:00:00 AM,295455,75.9%,24,1.3%
02/01/2009 12:00:00 AM,277695,78.9%,21,1.1%
01/01/2009 12:00:00 AM,300802,80.1%,19,1.2%
12/01/2008 12:00:00 AM,287992,76.1%,25,1.3%
11/01/2008 12:00:00 AM,269631,73.7%,28,1.2%
10/01/2008 12:00:00 AM,280100,57.9%,48,1.5%
08/01/2008 12:00:00 AM,311183,64.3%,37,1.2%
06/01/2008 12:00:00 AM,272756,58.8%,44,
05/01/2008 12:00:00 AM,277562,61.3%,41,
03/01/2008 12:00:00 AM,242789,54.9%,47,
02/01/2008 12:00:00 AM,248027,69.5%,29,
01/01/2008 12:00:00 AM,247503,75%,23,
12/01/2007 12:00:00 AM,231879,85%,13,
11/01/2007 12:00:00 AM,215748,88.4%,10,
10/01/2007 12:00:00 AM,209998,84%,14,
09/01/2007 12:00:00 AM,175737,79.6%,18,
08/01/2007 12:00:00 AM,173047,90.7%,14,
05/01/2007 12:00:00 AM,111137,75.3%,,
01/01/2016 12:00:00 AM,78059,46.7%,140,8.9%
04/01/2016 12:00:00 AM,73083,58.9%,154,11.8%
03/01/2016 12:00:00 AM,72182,47.7%,119,11.2%
02/01/2016 12:00:00 AM,68355,39%,194,10.4%
05/01/2015 12:00:00 AM,75324,56.9%,188,12.4%
05/01/2016 12:00:00 AM,75324,56.9%,188,12.4%
06/01/2016 12:00:00 AM,77887,61.4%,131,12.1%
07/01/2016 12:00:00 AM,75454,56.6%,117,10.7%
08/01/2016 12:00:00 AM,87389,57.5%,124,21.6%
09/01/2008 12:00:00 AM,282590,50.8%,55,1.2%
09/01/2016 12:00:00 AM,81765,60.8%,82,9.8%
01/01/2011 12:00:00 AM,205797,86%,14,2.7%
10/01/2016 12:00:00 AM,80919,60%,78,11%
11/01/2016 12:00:00 AM,74029,68.8%,52,10.3%
12/01/2016 12:00:00 AM,76264,72%,48,10.4%
04/01/2008 12:00:00 AM,250749,55%,48,
01/01/2017 12:00:00 AM,88607,72.2%,38,8.4%
02/01/2017 12:00:00 AM,73473,69.2%,59,9.9%
06/01/2007 12:00:00 AM,141639,86.1%,,
03/01/2017 12:00:00 AM,79410,74.1%,37,11.9%
04/01/2017 12:00:00 AM,73427,72.7%,55,8%
05/01/2017 12:00:00 AM,76847,60.1%,108,8.1%
06/01/2017 12:00:00 AM,75870,70.8%,59,8.1%
07/01/2017 12:00:00 AM,76892,73.8%,54,8.2%
08/01/2017 12:00:00 AM,75949,60.6%,88,7.8%
09/01/2017 12:00:00 AM,68468,51.5%,127,7.8%
10/01/2017 12:00:00 AM,72996,57.6%,102,9.8%
04/01/2007 12:00:00 AM,91892,68.8%,,
07/01/2007 12:00:00 AM,160996,91.8%,12,
07/01/2008 12:00:00 AM,293598,66.9%,34,1.4%
11/01/2017 12:00:00 AM,72053,77.9%,46,9.1%
